early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win,tier
5.8093,0.3925,0.0785,1.0,0.281,0,0.2,6.9738,0.2491,0.2491,0.4444,0.2047,1.0,0.0,7.7515,0.272,0.408,1.0,0.3935,1.0,0.2727,0,AnIJ_tGid5wdjS4DVUAXN9d4FYxADYlMNGxfp-KjZhqLn6s8x2SOoA-reZuiSV0y1-gBbEN15qyCHg,BR1_3277818072,16.17,12.738,8.03,7.353,0,DIAMOND
7.4805,0.4725,0.0,0.5,0.3054,1,0.0,9.7558,0.2439,0.0,0.8182,0.361,0.0,0.0769,4.1084,0.2417,0.1208,0.6667,0.2917,0.0,0.2222,0,AnIJ_tGid5wdjS4DVUAXN9d4FYxADYlMNGxfp-KjZhqLn6s8x2SOoA-reZuiSV0y1-gBbEN15qyCHg,BR1_3277790728,16.17,12.7,12.3,8.276,1,DIAMOND
5.3571,0.2857,0.3571,0.625,0.199,2,0.75,8.5432,0.0,0.5339,1.0,0.2968,2.0,0.0909,,,,,,,,0,AnIJ_tGid5wdjS4DVUAXN9d4FYxADYlMNGxfp-KjZhqLn6s8x2SOoA-reZuiSV0y1-gBbEN15qyCHg,BR1_3268856138,16.15,14.0,5.619,0.0,0,DIAMOND
7.7857,0.3571,0.1429,0.3077,0.1857,0,0.0,10.922,0.0,0.0,0.7273,0.2829,2.0,0.2,11.0754,0.0,0.0,0.4,0.2133,0.0,0.2222,0,1lsvJu8XQ4GnrX45qVQlho9aST4tYklbIKRMfZOT1P1C1uGvJPhlds0VGqO69wqKVG3v6NpfWKoZkw,BR1_3275949874,16.16,14.0,10.071,1.625,1,DIAMOND
7.7776,0.3241,0.081,0.3333,0.2314,0,0.0,5.909,0.2364,0.3545,0.8,0.3899,1.0,0.1429,2.0065,0.0,2.0065,0.0,0.3386,0.0,0.0,0,1-7KGgtPsJJqKcUyyD0b9DTzf86lsqPEawLtWsaDi4yGWsB4EhKBrH3CGoKO-sMzLvwLY5kgsZHGxA,BR1_3274365789,16.16,12.343,8.462,0.498,0,DIAMOND
6.4286,0.4286,0.2143,0.35,0.2647,3,0.0,6.0909,0.7273,0.5455,0.3182,0.1583,2.0,0.1667,7.5171,0.783,0.1566,0.3636,0.1968,1.0,0.3333,0,BVxI5ftr-RScdKN7E2KqfxcWtkc6v7U88q9kaK7vdIU--Lh2k_stD5fYBrT3BW4XUAMLXDRqCpODmg,BR1_3273084941,16.16,14.0,11.0,6.385,1,DIAMOND
4.6119,0.4612,0.3843,0.1111,0.2359,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BVxI5ftr-RScdKN7E2KqfxcWtkc6v7U88q9kaK7vdIU--Lh2k_stD5fYBrT3BW4XUAMLXDRqCpODmg,BR1_3271763376,16.16,13.01,11.99,2.85,0,DIAMOND
3.2059,0.0,0.6011,0.0,0.2576,0,,,,,,,,,,,,,,,,0,BVxI5ftr-RScdKN7E2KqfxcWtkc6v7U88q9kaK7vdIU--Lh2k_stD5fYBrT3BW4XUAMLXDRqCpODmg,BR1_3271102393,16.15,4.991,0.0,0.0,0,DIAMOND
7.1429,0.3571,0.3571,0.3333,0.2118,2,0.0,9.8238,0.4723,0.3778,0.2,0.2822,0.0,0.0,7.842,0.5809,0.5809,0.1667,0.1872,0.0,0.2,0,BVxI5ftr-RScdKN7E2KqfxcWtkc6v7U88q9kaK7vdIU--Lh2k_stD5fYBrT3BW4XUAMLXDRqCpODmg,BR1_3271096501,16.15,14.0,10.586,3.443,0,DIAMOND
6.5,0.3571,0.0714,0.7273,0.3377,2,0.75,6.8073,0.0,0.3521,0.75,0.194,2.0,0.1,6.7965,0.0,0.5097,0.2857,0.0845,0.0,0.0,1,QujJKYB7HB1rDf6xKmqTaDWINEEBNWjXE7K_NPW6ArVwV1H09QijLiNhb3WLaH436bxgov7K9JTnqw,BR1_3275465079,16.16,14.0,8.52,5.885,0,DIAMOND
