early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win
4.3571,0.1429,0.2143,0.2632,0.2635,3,0.0,5.6364,0.3636,0.4545,0.381,0.1718,1,0.2222,3.4186,0.4022,0.5362,0.5,0.2251,2.0,0.0,0,XqpqDikZBm9sH1h9vowa_mtZG20QvkdaX4O3fHKkhiiAjgzdiwv-01xuAptIvXek4wSp7_FXreiJdw,BR1_3252617543,16.12,14.0,11.0,14.919,0
5.2857,0.3571,0.0714,0.3333,0.2902,4,0.25,2.9091,0.0,0.0,0.375,0.1516,1,0.3333,,,,,,,,0,yfUPgM0dK4uRFl3-IavjQjpTCQJNUtKdedfexjmle_QpcWsUDpV8pRuK-553TTWTvR6ofrjY8UALww,BR1_3251872853,16.12,14.0,11.0,-8.732,1
2.8419,0.2508,0.2508,0.2143,0.1584,1,0.0,6.7504,0.537,0.3068,0.3,0.1478,2,0.1176,5.7235,0.5203,0.0,0.7143,0.0761,0.0,0.0,0,ZFTfIvIVBi5gHqRHj-1D9OXKl9bagm1y4B6yTPPHgqWweT5Airez_0kwTuETV9Pnt-EZWGhnY_3eUg,BR1_3252821338,16.12,11.964,13.036,3.844,1
6.8817,0.2518,0.0839,0.625,0.2218,2,0.0,5.9613,0.3821,0.2293,0.5357,0.2574,0,0.1,8.4653,0.5022,0.1435,0.6842,0.3427,0.0,0.0,0,9rEmrenPzReiqkdf0Xmc41uNacC-zjkx-jfw6OlrKoWGhkg-L_KmlNdce5-o8xblCOKMN1WtO-HbqA,BR1_3252569399,16.12,11.916,13.084,13.939,1
5.9941,0.4333,0.2889,0.2,0.2152,0,0.0,9.0861,0.3908,0.0977,0.1429,0.1255,0,0.0,6.3096,0.3658,0.1829,0.4091,0.1367,0.0,0.3125,0,OWQ1sz9b8B7JqhDwX2rV8A0au_dRIC1_VBpYz8BWZ17v26kCHq0ySXIxzbRfyTx-5S5CxyV__dPu-Q,BR1_3252542992,16.12,13.847,10.235,10.936,0
8.2455,0.3648,0.073,0.3,0.2105,1,0.0,8.3218,0.5312,0.3541,0.625,0.2832,2,0.0,5.1365,0.5375,0.3584,0.3913,0.198,1.0,0.2,0,5RcEVGxu00ZyqOJuTlRLoTcCPvdzWqn5n42PyDFaXGizjGaedXIQziIxCrF6kqBZjbu8nm2DpLsB9A,BR1_3248825971,16.11,13.704,11.296,16.743,0
6.7143,0.5,0.0714,0.6154,0.348,1,0.2,10.581,0.7667,0.0,0.5,0.2607,0,0.0,5.6443,0.5534,0.2213,0.5556,0.2094,0.0,0.3333,0,yCVePHi0rJKGCczbQJOC2OleJBabcUccDplQCsGAdU4IvXs7zU896F6pxstjQygwnwSSxJcIMaXSXg,BR1_3250178677,16.11,14.0,6.521,9.036,1
8.0,0.3571,0.1429,0.3333,0.2689,3,0.0,8.1818,0.5455,0.3636,0.4706,0.3268,1,0.0909,7.5169,0.0,0.9396,0.0,0.2627,0.0,0.0,0,vQ_m9MuJ0QC6x5AXMLjd7vpfcwq72TFdieqK7k9ZgeT9wR2lEhBGX87rZRKmsc-FWR2OdzeBJbsUjg,BR1_3252791517,16.12,14.0,11.0,1.064,1
7.0,0.3571,0.2143,0.2667,0.1824,0,0.0,5.4894,0.5882,0.2941,0.6429,0.3132,1,0.0,8.1576,0.0,0.2205,0.7273,0.2598,0.0,0.4444,0,OjPlrZiZnXdvK2TnOKwArx2doidI3FV0Fi3voREndcA-GpYPOHb3wwJ7-mfU2gpXGmef8K73dEt6pw,BR1_3252571354,16.12,14.0,10.201,9.071,1
7.5,0.4286,0.1429,0.3333,0.1785,1,0.0,7.4545,0.4545,0.1818,0.4375,0.195,3,0.2,4.483,0.2989,0.3985,0.3333,0.2016,0.0,0.2857,0,tJqi400ATmucJ1WK0oY0awm7S-RweaPy2eHxH1qNcv5UMVnqGRASDOjieNzqYQ8bChQEJy_IsNL4mw,BR1_3252574717,16.12,14.0,11.0,10.038,0
