early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,early_duration_min,mid_duration_min,late_duration_min,win
7.5445,0.0,0.0719,0.5556,0.2664,3,0.0,8.5464,0.0,0.2191,0.6364,0.4274,1,0.0909,5.9911,0.0,0.1015,0.5,0.3283,1.0,0.2667,0,78Be_63SBD4w3DgknftWP5Xg06GYsS5FEO8NKOwEVj6VgDudxvkb3mvyd4DsdoEcFx4rtJefI84J5w,BR1_3252748897,13.917,9.127,9.848,1
0.1429,0.0,0.0,0.0,0.3686,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,78Be_63SBD4w3DgknftWP5Xg06GYsS5FEO8NKOwEVj6VgDudxvkb3mvyd4DsdoEcFx4rtJefI84J5w,BR1_3252737794,14.0,11.0,-23.743,0
6.1429,0.0,0.0714,0.3333,0.1855,2,0.0,7.8182,0.0,0.2727,0.2857,0.0746,0,0.1818,6.0835,0.0,0.1242,0.3077,0.0842,0.0,0.0,0,78Be_63SBD4w3DgknftWP5Xg06GYsS5FEO8NKOwEVj6VgDudxvkb3mvyd4DsdoEcFx4rtJefI84J5w,BR1_3252724759,14.0,11.0,8.055,1
6.6001,0.0,0.1451,0.2105,0.2355,2,0.0,7.9377,0.0,0.1784,0.4667,0.2248,3,0.0,2.9024,0.0,0.3225,0.0,0.2123,0.0,0.0,0,78Be_63SBD4w3DgknftWP5Xg06GYsS5FEO8NKOwEVj6VgDudxvkb3mvyd4DsdoEcFx4rtJefI84J5w,BR1_3252709287,13.788,11.212,6.202,1
6.6215,0.0,0.3895,0.0,0.0712,0,0.0,7.7284,0.0,0.3289,0.1429,0.1376,0,0.1429,7.1218,0.0,0.1583,0.3,0.0598,1.0,0.2,0,IyQGAep6UNTVTccL8h_4eWIItpn6C84dFwtbramTmbHWxBXHyggOhUxwGJpSvOaosW6EGutLAvBC_A,BR1_3252336699,12.837,12.163,12.637,1
5.5,0.0,0.3571,0.4286,0.1941,3,0.0,8.6065,0.0,0.4233,0.1111,0.1195,0,0.2857,8.5879,0.0,0.1374,0.2857,0.1033,0.0,0.2727,0,IyQGAep6UNTVTccL8h_4eWIItpn6C84dFwtbramTmbHWxBXHyggOhUxwGJpSvOaosW6EGutLAvBC_A,BR1_3252181832,14.0,7.088,14.555,1
0.2857,0.0,0.0,0.0,0.2393,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,IyQGAep6UNTVTccL8h_4eWIItpn6C84dFwtbramTmbHWxBXHyggOhUxwGJpSvOaosW6EGutLAvBC_A,BR1_3252175794,14.0,11.0,-23.613,0
9.0142,0.0,0.0,0.1667,0.2751,1,0.5,8.9945,0.0,0.111,0.25,0.2108,0,0.1111,6.8314,0.0,0.2336,0.4545,0.2856,1.0,0.0556,0,4EG9eIp0ZVMaLXQjSNA6OyNXPz31MMI76GMO9QzZGrkwIQ7-aFe7EWO0nw8AhPCgJy74YhSVXvuI7Q,BR1_3252834769,13.645,9.006,17.127,1
7.0613,0.0,0.1441,0.3333,0.1354,0,0.0,8.6319,0.0,0.1798,0.3077,0.3317,1,0.0833,10.3113,0.0,0.3727,0.5,0.2415,1.0,0.1818,0,4EG9eIp0ZVMaLXQjSNA6OyNXPz31MMI76GMO9QzZGrkwIQ7-aFe7EWO0nw8AhPCgJy74YhSVXvuI7Q,BR1_3252783432,13.878,11.122,8.049,1
5.4867,0.0,0.279,0.1429,0.0971,0,0.0,8.0643,0.0,0.2494,0.2,0.083,0,0.2,6.8793,0.0,0.4648,0.4167,0.1941,0.0,0.375,0,4EG9eIp0ZVMaLXQjSNA6OyNXPz31MMI76GMO9QzZGrkwIQ7-aFe7EWO0nw8AhPCgJy74YhSVXvuI7Q,BR1_3252779374,10.753,12.028,10.757,0
5.8571,0.0,0.2143,0.2727,0.254,1,0.0,7.1818,0.0,0.3636,0.4286,0.2797,5,0.0909,1.9062,0.0,0.4766,0.4,0.1712,1.0,0.0,0,taHbTunOxlcN4bMdqAxTA7PlacwmAp6a_NzftRlpca_vfH4GZdf5LqAk1-ko4oKCuQXqM9nlDM4Zng,BR1_3252563918,14.0,11.0,2.098,1
6.3991,0.0,0.1506,0.2778,0.2019,1,0.5,7.3524,0.0,0.387,0.5,0.1856,0,0.1,0.6567,0.0,0.6567,0.0,0.3598,0.0,0.0,0,taHbTunOxlcN4bMdqAxTA7PlacwmAp6a_NzftRlpca_vfH4GZdf5LqAk1-ko4oKCuQXqM9nlDM4Zng,BR1_3251402185,13.283,10.337,1.523,0
5.3932,0.0,0.1634,0.0769,0.1246,0,0.0,1.1753,0.0,0.0,0.0,0.0079,0,0.0,,,,,,,,0,taHbTunOxlcN4bMdqAxTA7PlacwmAp6a_NzftRlpca_vfH4GZdf5LqAk1-ko4oKCuQXqM9nlDM4Zng,BR1_3251390235,12.238,12.762,-8.812,1
6.1785,0.0,0.0,0.0,0.1186,0,0.0,7.4543,0.0,0.1242,0.3077,0.175,0,0.2632,,,,,,,,0,t-OtDaH5MD-uAzpAhm_YGvt1JUM7QWt6wU2y5781E_1SNaz2Nf_T_OQsan_B2lvKhk5lORoI9opknA,BR1_3250821650,8.902,16.098,-0.284,0
8.0714,0.0,0.1429,0.2,0.1674,0,0.25,8.1818,0.0,0.1818,0.6364,0.2583,1,0.25,6.9368,0.0,0.1101,0.6,0.2284,1.0,0.125,0,t-OtDaH5MD-uAzpAhm_YGvt1JUM7QWt6wU2y5781E_1SNaz2Nf_T_OQsan_B2lvKhk5lORoI9opknA,BR1_3250810075,14.0,11.0,9.082,1
6.5,0.0,0.2143,0.0,0.2028,0,0.0,6.0761,0.0,0.217,0.5455,0.1283,0,0.2727,2.824,0.0,0.1822,0.6,0.2031,0.0,0.2667,0,t-OtDaH5MD-uAzpAhm_YGvt1JUM7QWt6wU2y5781E_1SNaz2Nf_T_OQsan_B2lvKhk5lORoI9opknA,BR1_3250798109,14.0,9.216,10.977,0
5.9708,0.0,0.3641,0.25,0.2583,1,0.0,5.8581,0.0,0.355,0.4,0.2381,0,0.125,4.7452,0.0,0.2005,0.5789,0.2905,1.0,0.1,0,t-OtDaH5MD-uAzpAhm_YGvt1JUM7QWt6wU2y5781E_1SNaz2Nf_T_OQsan_B2lvKhk5lORoI9opknA,BR1_3250537122,13.733,11.267,14.963,0
6.7143,0.0,0.1429,0.1667,0.1562,0,0.0,7.0,0.0,0.1818,0.6154,0.19,3,0.1111,7.1686,0.0,0.1062,0.4848,0.2681,2.0,0.3125,0,0DDlx4jWKb2TwTD_n9096jPYvQithEzVzfBPTZ_9JF4AlgLp-MF41GqNbw1prpzvWrZGiuDhxJ5QGQ,BR1_3252421503,14.0,11.0,18.832,1
